length_string	hash_name	number_strings	collision_proportion
10	AP	550000	7.27273e-05
10	AP	560000	7.32143e-05
10	AP	570000	7.7193e-05
10	AP	580000	7.58621e-05
10	AP	590000	7.9661e-05
10	AP	600000	8.5e-05
10	AP	610000	8.52459e-05
10	AP	620000	8.87097e-05
10	AP	630000	8.88889e-05
10	AP	640000	8.75e-05
10	AP	650000	9.53846e-05
10	AP	660000	9.39394e-05
10	AP	670000	9.55224e-05
10	AP	680000	9.41176e-05
10	AP	690000	0.0001
10	AP	700000	0.0001
10	AP	710000	0.000102817
10	AP	720000	0.000106944
10	AP	730000	0.000106849
10	AP	740000	0.000106757
10	AP	750000	0.000105333
10	AP	760000	0.000106579
10	AP	770000	0.000107792
10	AP	780000	0.000107692
10	AP	790000	0.000110127
10	AP	800000	0.00010875
10	AP	810000	0.000108642
10	AP	820000	0.000112195
10	AP	830000	0.000110843
10	AP	840000	0.000110714
10	AP	850000	0.000114118
10	AP	860000	0.000113953
10	AP	870000	0.000114943
10	AP	880000	0.000117045
10	AP	890000	0.00011573
10	AP	900000	0.000117778
10	AP	910000	0.000120879
